DATE,Default
1/1/2001,2.28
4/1/2001,2.3
7/1/2001,2.19
10/1/2001,2.41
1/1/2002,2.21
4/1/2002,2.06
7/1/2002,2.05
10/1/2002,2.13
1/1/2003,1.96
4/1/2003,1.74
7/1/2003,1.68
10/1/2003,1.93
1/1/2004,1.63
4/1/2004,1.52
7/1/2004,1.55
10/1/2004,1.51
1/1/2005,1.4
4/1/2005,1.47
7/1/2005,1.54
10/1/2005,1.78
1/1/2006,1.57
4/1/2006,1.53
7/1/2006,1.72
10/1/2006,2.11
1/1/2007,2.01
4/1/2007,2.17
7/1/2007,2.73
10/1/2007,3.3
1/1/2008,3.67
4/1/2008,4.15
7/1/2008,5.16
10/1/2008,7.05
1/1/2009,7.88
4/1/2009,8.21
7/1/2009,9.49
10/1/2009,10.97
1/1/2010,11.36
4/1/2010,10.72
7/1/2010,10.67
10/1/2010,10.5
1/1/2011,10.51
4/1/2011,10.29
7/1/2011,10.28
10/1/2011,10.52
1/1/2012,10.4
4/1/2012,10.26
7/1/2012,10.62
10/1/2012,10.18
1/1/2013,9.72
4/1/2013,9.18
7/1/2013,8.6
10/1/2013,8.36
1/1/2014,7.82
4/1/2014,7.32
7/1/2014,6.95
10/1/2014,6.71
1/1/2015,6.15
4/1/2015,5.71
7/1/2015,5.43
10/1/2015,5.27
1/1/2016,4.83
4/1/2016,4.49
7/1/2016,4.28
10/1/2016,4.25
1/1/2017,3.9
4/1/2017,3.6
7/1/2017,3.62
