DATE,UR
1/1/2001,4.9
2/1/2001,4.6
3/1/2001,4.7
4/1/2001,4.7
5/1/2001,4.5
6/1/2001,5.1
7/1/2001,5.6
8/1/2001,5.8
9/1/2001,5.5
10/1/2001,5.8
11/1/2001,6
12/1/2001,5.8
1/1/2002,6.6
2/1/2002,6.2
3/1/2002,6.4
4/1/2002,6.3
5/1/2002,6.1
6/1/2002,6.6
7/1/2002,6.9
8/1/2002,6.5
9/1/2002,6.1
10/1/2002,6
11/1/2002,6.1
12/1/2002,6
1/1/2003,6.5
2/1/2003,6.3
3/1/2003,6.2
4/1/2003,6.1
5/1/2003,6.1
6/1/2003,6.9
7/1/2003,7
8/1/2003,6.8
9/1/2003,6.5
10/1/2003,6.4
11/1/2003,6.3
12/1/2003,5.8
1/1/2004,6.4
2/1/2004,6
3/1/2004,6.3
4/1/2004,5.9
5/1/2004,5.9
6/1/2004,6.2
7/1/2004,6.4
8/1/2004,5.9
9/1/2004,5.6
10/1/2004,5.6
11/1/2004,5.6
12/1/2004,5.3
1/1/2005,5.6
2/1/2005,5.5
3/1/2005,5.2
4/1/2005,4.9
5/1/2005,4.7
6/1/2005,4.9
7/1/2005,5.1
8/1/2005,4.7
9/1/2005,4.7
10/1/2005,4.6
11/1/2005,4.9
12/1/2005,4.6
1/1/2006,4.8
2/1/2006,4.8
3/1/2006,4.4
4/1/2006,4.3
5/1/2006,4.3
6/1/2006,4.4
7/1/2006,4.9
8/1/2006,4.6
9/1/2006,4.3
10/1/2006,4
11/1/2006,4.3
12/1/2006,4.1
1/1/2007,4.8
2/1/2007,4.6
3/1/2007,4.4
4/1/2007,4.4
5/1/2007,4.3
6/1/2007,4.7
7/1/2007,5.3
8/1/2007,5
9/1/2007,5
10/1/2007,4.9
11/1/2007,5.1
12/1/2007,5.3
1/1/2008,5.8
2/1/2008,5.6
3/1/2008,5.8
4/1/2008,5.7
5/1/2008,6.2
6/1/2008,6.8
7/1/2008,7.6
8/1/2008,7.8
9/1/2008,7.8
10/1/2008,7.9
11/1/2008,8.3
12/1/2008,8.8
1/1/2009,9.9
2/1/2009,10.1
3/1/2009,10.4
4/1/2009,10.1
5/1/2009,10.5
6/1/2009,11.1
7/1/2009,11.6
8/1/2009,11.5
9/1/2009,11.4
10/1/2009,11.4
11/1/2009,11.3
12/1/2009,11.2
1/1/2010,12.1
2/1/2010,11.8
3/1/2010,11.8
4/1/2010,11.4
5/1/2010,11.4
6/1/2010,11.7
7/1/2010,12.5
8/1/2010,12.3
9/1/2010,11.9
10/1/2010,11.7
11/1/2010,12
12/1/2010,11.6
1/1/2011,11.9
2/1/2011,11.5
3/1/2011,11.3
4/1/2011,11.1
5/1/2011,11.1
6/1/2011,11.7
7/1/2011,12.2
8/1/2011,12
9/1/2011,11.6
10/1/2011,11.3
11/1/2011,10.9
12/1/2011,10.7
1/1/2012,11.1
2/1/2012,10.8
3/1/2012,10.5
4/1/2012,9.9
5/1/2012,10
6/1/2012,10.4
7/1/2012,11
8/1/2012,10.5
9/1/2012,9.7
10/1/2012,9.7
11/1/2012,9.4
12/1/2012,9.4
1/1/2013,10.1
2/1/2013,9.4
3/1/2013,9.1
4/1/2013,8.6
5/1/2013,8.8
6/1/2013,9.4
7/1/2013,9.7
8/1/2013,9.2
9/1/2013,8.8
10/1/2013,8.7
11/1/2013,8.3
12/1/2013,7.9
1/1/2014,8.3
2/1/2014,8.1
3/1/2014,8
4/1/2014,7.2
5/1/2014,7.4
6/1/2014,7.6
7/1/2014,8.2
8/1/2014,7.9
9/1/2014,7.4
10/1/2014,7.2
11/1/2014,7.1
12/1/2014,6.7
1/1/2015,7.2
2/1/2015,6.8
3/1/2015,6.5
4/1/2015,6.1
5/1/2015,6.2
6/1/2015,6.3
7/1/2015,6.6
8/1/2015,6.1
9/1/2015,5.6
10/1/2015,5.5
11/1/2015,5.3
12/1/2015,5.1
1/1/2016,5.3
2/1/2016,5.1
3/1/2016,5
4/1/2016,4.7
5/1/2016,4.6
6/1/2016,5.1
7/1/2016,5.5
8/1/2016,5.3
9/1/2016,5
10/1/2016,4.9
11/1/2016,4.5
12/1/2016,4.4
1/1/2017,4.8
2/1/2017,4.6
3/1/2017,4.2
4/1/2017,3.9
5/1/2017,3.8
6/1/2017,4.4
7/1/2017,5
8/1/2017,5.1
9/1/2017,4.6
